whaleIDSp,whaleIDNumber,TL,LogTL,VGBm,LogVGBm,MW,LogMW,MR,LogMR,Species,Input,,MW,MR,VGB,Species
bw,148,19.35,1.286680969,10.65,1.027349608,50023.0312,4.699170005,1.20538,0.081123981,Blue Whale,1,,,,,
bw,149,19.3,1.285557309,10.6,1.025305865,49439.65198,4.694075405,1.20168,0.079788833,Blue Whale,1,,,,,
bw,150,18.87,1.2757719,10.17,1.007320953,44606.30085,4.649396209,1.1691,0.067851661,Blue Whale,1,,,,,
bw,151,20.6,1.31386722,11.9,1.075546961,66118.13827,4.820320616,1.29214,0.111309571,Blue Whale,1,,,,,
bw,152,19.4,1.28780173,10.7,1.029383778,50610.92155,4.704244245,1.20906,0.082447853,Blue Whale,1,,,,,
bw,153,19.2,1.283301229,10.5,1.021189299,48286.35776,4.683824448,1.19423,0.077087977,Blue Whale,1,,,,,
bw,154,19.6,1.292256071,10.9,1.037426498,53007.93435,4.724340881,1.2236,0.087639468,Blue Whale,1,,,,,
bw,155,22.35,1.349277527,13.65,1.135132651,93897.78766,4.97265536,1.39689,0.145162208,Blue Whale,1,,,,,
bw,156,18.21,1.260309946,9.46,0.975891136,37610.45275,4.575308561,1.11045,0.045499008,Blue Whale,1,,,,,
bw,157,19.55,1.291146762,10.8,1.033423755,52160.34605,4.717340464,1.21437,0.08435103,Blue Whale,1,,,,,
bw,158,21.5,1.33243846,12.75,1.105510185,79291.78129,4.899228174,1.343,0.128076013,Blue Whale,1,,,,,
bw,159,19.8,1.29666519,11.05,1.043362278,55228.59056,4.74216396,1.23228,0.0907094,Blue Whale,1,,,,,
bw,160,18.4,1.264817823,9.65,0.984527313,39486.05907,4.596443791,1.12603,0.051549961,Blue Whale,1,,,,,
bw,161,19.05,1.27989498,10.3,1.012837225,46364.74798,4.666187903,1.17719,0.070846564,Blue Whale,1,,,,,
bw,162,19.5,1.290034611,10.75,1.031408464,51560.48689,4.71231701,1.21074,0.083050891,Blue Whale,1,,,,,
bw,163,19.25,1.284430734,10.5,1.021189299,48629.19895,4.686897116,1.19228,0.076378259,Blue Whale,1,,,,,
bw,164,19.1,1.281033367,10.35,1.01494035,46924.21426,4.671397009,1.18099,0.07224622,Blue Whale,1,,,,,
bw,165,19.82,1.29710365,11.07,1.044147621,55479.05406,4.744129048,1.2337,0.091209565,Blue Whale,1,,,,,
bw,166,19.45,1.288919606,10.69,1.028977705,50917.55376,4.706867531,1.20595,0.081329302,Blue Whale,1,,,,,
bw,167,20.1,1.303196057,11.3,1.053078443,58804.24055,4.769408645,1.24768,0.096103214,Blue Whale,1,,,,,
bw,168,19.8,1.29666519,11,1.041392685,54978.68742,4.740194367,1.22671,0.088741906,Blue Whale,1,,,,,
bw,169,19.4,1.28780173,10.6,1.025305865,50137.92221,4.700166332,1.19776,0.078369805,Blue Whale,1,,,,,
bw,170,19.97,1.300378065,11.17,1.048053173,57125.69387,4.756831488,1.23867,0.092955619,Blue Whale,1,,,,,
bw,171,18.8,1.274157849,10,1,43416.02838,4.637650092,1.15214,0.061505255,Blue Whale,1,,,,,
bw,172,19.25,1.284430734,10.45,1.01911629,48397.63129,4.684824107,1.18661,0.074308004,Blue Whale,1,,,,,
