ID,species,lunge_depth
bw170813-41,bw,126.15613324643525
bw170813-41,bw,124.89483943991956
bw170813-41,bw,125.47905516253634
bw170813-41,bw,124.77186584588756
bw170813-41,bw,126.31585310700676
bw170813-41,bw,127.1638766643366
bw170813-41,bw,118.30668142673068
bw170813-41,bw,116.27565015334731
bw170813-41,bw,115.79779571155954
bw170813-41,bw,115.62637430905966
bw170813-41,bw,113.52218423697607
bw170813-41,bw,112.90333043318074
bw170813-41,bw,112.52277917349049
bw170813-41,bw,114.70904812430422
bw170813-41,bw,112.29044247359103
bw170813-41,bw,112.76458236455517
bw170813-41,bw,110.96678793420881
bw170813-41,bw,107.87512953797547
bw170813-41,bw,106.64890212946963
bw170813-41,bw,107.94554839047677
bw170813-41,bw,106.86837070950583
bw170813-41,bw,108.39062645270133
bw170813-41,bw,107.13336372616112
bw170813-41,bw,102.70007434634472
bw170813-41,bw,107.09998050546292
bw170813-41,bw,105.8998647198753
bw170813-41,bw,107.33889673458886
bw170813-41,bw,105.90550813282299
bw170813-41,bw,107.01048583961703
bw170813-41,bw,107.3635937193293
bw170813-41,bw,106.9065908878863
bw170813-41,bw,104.23610433069115
bw170813-41,bw,106.70208215055338
bw170813-41,bw,106.94088616379662
bw170813-41,bw,106.63355246000386
bw170813-41,bw,107.39527713146612
bw170813-41,bw,106.9198645815306
bw170813-41,bw,104.55775744707715
bw170813-41,bw,105.94104689403682
bw170813-41,bw,106.61837831466134
bw170813-41,bw,105.78034856817625
bw170813-41,bw,107.50658728002028
bw170813-41,bw,108.28140402429834
bw170813-41,bw,107.55582572736833
bw170813-41,bw,105.09418970978865
bw170813-41,bw,107.72989883379084
bw170813-41,bw,107.89002972943729
bw170813-41,bw,103.02651012311597
bw170813-41,bw,104.9145571268363
bw170813-41,bw,104.83007467201112
bw170813-41,bw,106.50612851346241
bw170813-41,bw,106.2272146623436
bw170813-41,bw,107.06101806217755
bw170813-41,bw,107.13240636050523
bw170813-41,bw,107.45548432769225
bw170813-41,bw,108.16903751170678
bw170813-41,bw,108.22129914677149
bw170813-41,bw,108.42553182134945
bw170813-41,bw,108.77860076119939
bw170813-41,bw,108.8883755823204
bw170813-41,bw,108.88010655421895
bw170813-41,bw,110.04161703365396
bw170813-41,bw,112.12784903004075
bw170813-41,bw,110.13633478140768
bw170813-41,bw,108.57953505459855
bw170813-41,bw,111.8048502535435
bw170813-41,bw,113.26658146732751
bw170813-41,bw,112.32363157685666
bw170813-41,bw,111.60882330220488
bw170813-41,bw,110.99209768223074
bw170813-41,bw,98.91288466468049
bw170813-41,bw,109.48184482415263
bw170813-41,bw,111.40021962077789
bw170813-41,bw,111.50955302029033
bw170813-41,bw,112.83681900869323
bw170813-41,bw,114.31764191568135
bw170813-41,bw,115.04701245529313
bw170813-41,bw,112.25990094510847
bw170813-41,bw,114.64418075517854
bw170813-41,bw,114.8185691322816
bw170813-41,bw,114.62163516557989
bw170813-41,bw,115.72844429317992
bw170813-41,bw,115.97408395765865
bw170813-41,bw,114.36106024664322
