Family,Genus,Species,TL (m),M (kg),Prey W (g),Percent,Energy (kJ/g),Energy (kJ),E_divesurf_med,E_divesurf_max,MR exponent
Delphinidae,Globicephala,melas,5,1200,950,4.7,4.01,3809.5,95.02,56.78,0.45
Delphinidae,Globicephala,melas,5,1200,1050,2,4.01,4210.5,46.33,35.72,0.45
Delphinidae,Globicephala,melas,5,1200,1150,0.7,4.01,4611.5,50.75,39.12,0.45
Delphinidae,Globicephala,macrorhynchus,4.3,980,50,10,4.01,200.5,1.65,1.73,0.45
Delphinidae,Globicephala,macrorhynchus,4.3,980,150,17.3,4.01,601.5,4.96,5.19,0.45
Delphinidae,Globicephala,macrorhynchus,4.3,980,250,12,4.01,1002.5,8.27,8.64,0.45
Delphinidae,Globicephala,macrorhynchus,4.3,980,350,7.3,4.01,1403.5,11.57,12.1,0.45
Delphinidae,Globicephala,macrorhynchus,4.3,980,450,13.3,4.01,1804.5,14.88,15.56,0.45
Delphinidae,Globicephala,macrorhynchus,4.3,980,550,13.3,4.01,2205.5,18.19,19.01,0.45
Delphinidae,Globicephala,macrorhynchus,4.3,980,650,10,4.01,2606.5,21.5,22.47,0.45
Delphinidae,Globicephala,macrorhynchus,4.3,980,750,4.7,4.01,3007.5,24.8,25.93,0.45
Delphinidae,Globicephala,macrorhynchus,4.3,980,850,4.7,4.01,3408.5,28.11,29.38,0.45
Delphinidae,Globicephala,macrorhynchus,4.3,980,950,4.7,4.01,3809.5,31.42,32.84,0.45
Delphinidae,Globicephala,macrorhynchus,4.3,980,1050,2,4.01,4210.5,34.72,36.3,0.45
Delphinidae,Globicephala,macrorhynchus,4.3,980,1150,0.7,4.01,4611.5,38.03,39.75,0.45
Delphinidae,Grampus,griseus,3,350,164,9.1,2.31,379,30.91,21.04,0.45
Delphinidae,Grampus,griseus,3,350,24,3.6,2.65,63.7,5.2,3.54,0.45
Delphinidae,Grampus,griseus,3,350,104,78.2,2.65,276.8,22.58,15.37,0.45
Delphinidae,Grampus,griseus,3,350,160,7.3,4.01,639.9,52.19,35.52,0.45
Delphinidae,Grampus,griseus,3,350,35,1.8,2.65,92.2,7.52,5.12,0.45
Balaenopteridae,Megaptera,novaeangliae,12.7,28000,1260,0,3.07,3869,3.81,3.98,0.45
Balaenopteridae,Megaptera,novaeangliae,12.7,28000,2740,1.3,3.07,8412,8.28,8.65,0.45
Balaenopteridae,Megaptera,novaeangliae,12.7,28000,5891,6.3,3.07,18085,17.81,18.61,0.45
Balaenopteridae,Megaptera,novaeangliae,12.7,28000,12714,12.5,3.07,39031,38.44,40.15,0.45
Balaenopteridae,Megaptera,novaeangliae,12.7,28000,27400,19,3.07,84118,82.85,86.54,0.45
Balaenopteridae,Megaptera,novaeangliae,12.7,28000,59020,27.1,3.07,181190,178.45,186.4,0.45
Balaenopteridae,Megaptera,novaeangliae,12.7,28000,127191,25.7,3.07,390476,384.57,401.71,0.45
Balaenopteridae,Megaptera,novaeangliae,12.7,28000,274000,8.2,3.07,841180,828.47,865.38,0.45
Ziphiidae,Mesoplodon,densirostris,4.1,860,122,42.9,1.69,206.6,3.37,2.76,0.45
Ziphiidae,Mesoplodon,densirostris,4.1,860,57,42.9,2.65,151.5,2.47,2.02,0.45
Ziphiidae,Mesoplodon,densirostris,4.1,860,248,14.3,3.08,763.4,12.46,10.2,0.45
Delphinidae,Orcinus,orca,6,3000,275,1.9,5.63,1548,1.43,1.51,0.45
Delphinidae,Orcinus,orca,6,3000,284,0.5,4.58,1303,1.1,1.16,0.45
Delphinidae,Orcinus,orca,6,3000,426,2,4.57,1945,1.65,1.73,0.45
Delphinidae,Orcinus,orca,6,3000,567,12.5,4.57,2588,2.19,2.3,0.45
Delphinidae,Orcinus,orca,6,3000,708,20,4.56,3230,2.74,2.87,0.45
Delphinidae,Orcinus,orca,6,3000,775,4.7,5.74,4445,3.77,3.95,0.45
Delphinidae,Orcinus,orca,6,3000,849,12.5,4.56,3872,3.28,3.44,0.45
Delphinidae,Orcinus,orca,6,3000,990,2,4.56,4515,3.83,4.01,0.45
Delphinidae,Orcinus,orca,6,3000,1132,0.5,4.56,5157,4.37,4.58,0.45
Delphinidae,Orcinus,orca,6,3000,2125,21.7,5.86,12445,10.55,11.06,0.45
Delphinidae,Orcinus,orca,6,3000,3325,18.9,5.98,19893,16.86,17.68,0.45
Delphinidae,Orcinus,orca,6,3000,3425,2.9,6.24,21385,18.12,19.01,0.45
Phocoenidae,Phocoaena,Phocaena,1.4,33,2,78,4.42,10.5,8.57,7.99,0.45
Phocoenidae,Phocoaena,Phocaena,1.4,33,5,13.8,4.79,22.7,16.42,15.44,0.45
Phocoenidae,Phocoaena,Phocaena,1.4,33,19,4.9,5.55,103.4,60.89,57.88,0.45
Phocoenidae,Phocoaena,Phocaena,1.4,33,73,2.4,6.3,462.3,228.64,219.06,0.45
Phocoenidae,Phocoaena,Phocaena,1.4,33,289,0.8,7.06,2037.3,866.88,835.46,0.45
Physeteridae,Physter,macrocephalus,12.3,19300,24000,0.3,2.65,63600,22.73,38,0.45
Physeteridae,Physter,macrocephalus,12.3,19300,8000,4.9,4.01,32080,29.39,30.88,0.45
Physeteridae,Physter,macrocephalus,12.3,19300,2000,0.6,4.01,8020,7.35,7.72,0.45
Physeteridae,Physter,macrocephalus,12.3,19300,1700,2.1,3.78,6426,5.89,6.19,0.45
Physeteridae,Physter,macrocephalus,12.3,19300,1000,0.4,2.31,2310,2.12,2.22,0.45
Physeteridae,Physter,macrocephalus,12.3,19300,1000,0,2.65,2650,2.43,2.55,0.45
Physeteridae,Physter,macrocephalus,12.3,19300,1000,21,3.08,3080,2.82,2.96,0.45
Physeteridae,Physter,macrocephalus,12.3,19300,1000,29.6,2.65,2650,2.43,2.55,0.45
Physeteridae,Physter,macrocephalus,12.3,19300,800,9.4,2.31,1848,8.48,11.17,0.45
